2020-01-03 07:42:08.731 INFO   [0x75513460](Gateway.c:1057 process_wifi_receive) - Get Join Request from LBeacon
2020-01-03 07:42:08.777 DEBUG  [0x6f3cc460](Gateway.c:366 NSI_routine) - uuid=[00010015000000054605000000018086], LBeacon_datetime=[1578037328], net_address=[192.168.14.12], join_result=[0]
2020-01-03 07:42:08.777 DEBUG  [0x6f3cc460](Gateway.c:537 send_join_request) - >>send_join_request
2020-01-03 07:42:08.777 DEBUG  [0x6f3cc460](Gateway.c:550 send_join_request) - report_all_lbeacons=[1]
2020-01-03 07:42:08.777 DEBUG  [0x6f3cc460](Gateway.c:632 send_join_request) - <<send_join_request
2020-01-03 07:42:08.832 INFO   [0x75513460](Gateway.c:979 process_wifi_receive) - pkt_direction=[8], pkt_type=[1] API_version=[1.100000] new_node -> content=[00010015000000054605000000014260;1578037328;192.168.14.13;]
2020-01-03 07:42:08.833 INFO   [0x75513460](Gateway.c:1057 process_wifi_receive) - Get Join Request from LBeacon
2020-01-03 07:42:08.833 INFO   [0x75513460](Gateway.c:979 process_wifi_receive) - pkt_direction=[8], pkt_type=[1] API_version=[1.100000] new_node -> content=[00010015000000050083000000017738;1578037328;192.168.14.11;]
2020-01-03 07:42:08.833 INFO   [0x75513460](Gateway.c:1057 process_wifi_receive) - Get Join Request from LBeacon
2020-01-03 07:42:08.877 DEBUG  [0x6e3cc460](Gateway.c:366 NSI_routine) - uuid=[00010015000000054605000000014260], LBeacon_datetime=[1578037328], net_address=[192.168.14.13], join_result=[0]
2020-01-03 07:42:08.878 DEBUG  [0x6dbcc460](Gateway.c:366 NSI_routine) - uuid=[00010015000000050083000000017738], LBeacon_datetime=[1578037328], net_address=[192.168.14.11], join_result=[0]
2020-01-03 07:42:08.878 DEBUG  [0x6dbcc460](Gateway.c:537 send_join_request) - >>send_join_request
2020-01-03 07:42:08.878 DEBUG  [0x6dbcc460](Gateway.c:550 send_join_request) - report_all_lbeacons=[1]
2020-01-03 07:42:08.877 DEBUG  [0x6e3cc460](Gateway.c:537 send_join_request) - >>send_join_request
2020-01-03 07:42:08.878 DEBUG  [0x6e3cc460](Gateway.c:550 send_join_request) - report_all_lbeacons=[1]
2020-01-03 07:42:08.878 DEBUG  [0x6dbcc460](Gateway.c:632 send_join_request) - <<send_join_request
2020-01-03 07:42:08.879 DEBUG  [0x6e3cc460](Gateway.c:632 send_join_request) - <<send_join_request
2020-01-03 07:42:09.234 INFO   [0x75513460](Gateway.c:979 process_wifi_receive) - pkt_direction=[2], pkt_type=[4] API_version=[2.100000] new_node -> content=[]
2020-01-03 07:42:09.240 INFO   [0x75513460](Gateway.c:1019 process_wifi_receive) - Get Tracked Object Data from the Server
2020-01-03 07:42:09.278 INFO   [0x6b3cc460](Gateway.c:473 Server_routine) - Send tracked data request to LBeacon
2020-01-03 07:42:09.278 INFO   [0x6b3cc460](Gateway.c:475 Server_routine) - Start Broadcast to LBeacon
2020-01-03 07:42:09.278 INFO   [0x6b3cc460](Gateway.c:759 broadcast_to_beacons) - ==Current in Brocast==
2020-01-03 07:42:09.278 INFO   [0x6b3cc460](Gateway.c:769 broadcast_to_beacons) - Brocast IP: [192.168.14.12] UUID [00010015000000054605000000018086]
2020-01-03 07:42:09.278 INFO   [0x6b3cc460](Gateway.c:769 broadcast_to_beacons) - Brocast IP: [192.168.14.13] UUID [00010015000000054605000000014260]
2020-01-03 07:42:09.278 INFO   [0x6b3cc460](Gateway.c:769 broadcast_to_beacons) - Brocast IP: [192.168.14.11] UUID [00010015000000050083000000017738]
2020-01-03 07:42:09.278 INFO   [0x6b3cc460](Gateway.c:782 broadcast_to_beacons) - END Broadcast
